parameter,question_id,question_text,document_id
2,1492,Did Theodore Roosevelt study Judo?,"2883,3005"
3,1492,Did Theodore Roosevelt study Judo?,"2883,2890,3005"
5,1492,Did Theodore Roosevelt study Judo?,"2883,2890,3005,3008,3033"
7,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033,3036"
10,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,2895,3005,3008,3027,3029,3033,3036"
2,178,Are beetles endopterygotes?,"2394,2399"
3,178,Are beetles endopterygotes?,"2394,2399,2419"
5,178,Are beetles endopterygotes?,"2383,2392,2394,2399,2419"
7,178,Are beetles endopterygotes?,"2383,2384,2392,2394,2399,2417,2419"
10,178,Are beetles endopterygotes?,"2383,2384,2392,2394,2399,2400,2402,2417,2419,2443"
2,867,What did James Monroe make in 1817?,"2506,2518"
3,867,What did James Monroe make in 1817?,"2506,2518,2536"
5,867,What did James Monroe make in 1817?,"2506,2518,2519,2532,2536"
7,867,What did James Monroe make in 1817?,"2506,2513,2518,2519,2532,2533,2536"
10,867,What did James Monroe make in 1817?,"2364,2506,2511,2513,2518,2519,2532,2533,2534,2536"
2,4,Did his mother die of pneumonia?,"1396,3085"
3,4,Did his mother die of pneumonia?,"187,1396,3085"
5,4,Did his mother die of pneumonia?,"146,187,1396,1967,3085"
7,4,Did his mother die of pneumonia?,"146,187,524,1396,1967,2894,3085"
10,4,Did his mother die of pneumonia?,"146,187,262,524,1396,1397,1967,2108,2894,3085"
2,1480,Where was Theodore Roosevelt born?,"2883,3033"
3,1480,Where was Theodore Roosevelt born?,"2883,2884,3033"
5,1480,Where was Theodore Roosevelt born?,"2086,2878,2883,2884,3033"
7,1480,Where was Theodore Roosevelt born?,"2086,2878,2883,2884,2885,3029,3033"
10,1480,Where was Theodore Roosevelt born?,"2086,2248,2878,2883,2884,2885,2975,2999,3029,3033"
2,428,Are elephants the largest land animals alive today?,"1177,1192"
3,428,Are elephants the largest land animals alive today?,"1177,1192,1282"
5,428,Are elephants the largest land animals alive today?,"1177,1192,1236,1260,1282"
7,428,Are elephants the largest land animals alive today?,"1177,1187,1192,1202,1236,1260,1282"
10,428,Are elephants the largest land animals alive today?,"1177,1186,1187,1192,1197,1202,1236,1260,1269,1282"
2,774,What happens when the srivijaya kingdom formed trade links?,"752,763"
3,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765"
5,774,What happens when the srivijaya kingdom formed trade links?,"752,763,765,2180,2366"
7,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,2180,2364,2366"
10,774,What happens when the srivijaya kingdom formed trade links?,"752,756,763,765,1374,2180,2364,2366,2814,2911"
2,47,How long was Lincoln's legal Career?,"374,390"
3,47,How long was Lincoln's legal Career?,"292,374,390"
5,47,How long was Lincoln's legal Career?,"288,292,306,374,390"
7,47,How long was Lincoln's legal Career?,"288,292,306,374,390,397,2364"
10,47,How long was Lincoln's legal Career?,"278,288,292,302,306,374,390,397,2086,2364"
2,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,2734"
3,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,2734"
5,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","803,806,1267,2730,2734"
7,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,803,806,1260,1267,2730,2734"
10,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?","67,801,803,804,806,1260,1267,2707,2730,2734"
2,595,Have more than five Presidents lived past the age of 90?,"2103,2883"
3,595,Have more than five Presidents lived past the age of 90?,"2092,2103,2883"
5,595,Have more than five Presidents lived past the age of 90?,"409,427,2092,2103,2883"
7,595,Have more than five Presidents lived past the age of 90?,"409,427,702,2086,2092,2103,2883"
10,595,Have more than five Presidents lived past the age of 90?,"409,427,516,702,2086,2092,2096,2101,2103,2883"
2,875,What happened in the election of 1816?,"201,202"
3,875,What happened in the election of 1816?,"201,202,437"
5,875,What happened in the election of 1816?,"201,202,437,710,2364"
7,875,What happened in the election of 1816?,"201,202,437,691,710,2116,2364"
10,875,What happened in the election of 1816?,"201,202,437,483,677,691,710,2116,2364,2513"
2,951,What is the average life expectancy of a kangaroo?,"1735,1740"
3,951,What is the average life expectancy of a kangaroo?,"1729,1735,1740"
5,951,What is the average life expectancy of a kangaroo?,"1728,1729,1735,1740,1748"
7,951,What is the average life expectancy of a kangaroo?,"1623,1728,1729,1735,1740,1748,1761"
10,951,What is the average life expectancy of a kangaroo?,"1623,1722,1723,1728,1729,1735,1740,1745,1748,1761"
2,463,Are elephants mammals?,"1236,1260"
3,463,Are elephants mammals?,"1186,1236,1260"
5,463,Are elephants mammals?,"1186,1197,1236,1260,1282"
7,463,Are elephants mammals?,"1177,1186,1197,1202,1236,1260,1282"
10,463,Are elephants mammals?,"1175,1177,1180,1186,1187,1197,1202,1236,1260,1282"
2,1688,Was Wilson an automobile enthusiast?,"2232,2238"
3,1688,Was Wilson an automobile enthusiast?,"2211,2232,2238"
5,1688,Was Wilson an automobile enthusiast?,"1407,2195,2211,2232,2238"
7,1688,Was Wilson an automobile enthusiast?,"1407,1447,2195,2211,2232,2237,2238"
10,1688,Was Wilson an automobile enthusiast?,"1407,1447,2195,2208,2211,2227,2232,2237,2238,2246"
2,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,181"
3,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,181,403"
5,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,176,180,181,403"
7,1150,Was Fillmore one of the founders of the University of Buffalo?,"152,176,180,181,403,2124,2127"
10,1150,Was Fillmore one of the founders of the University of Buffalo?,"150,152,176,180,181,403,2086,2124,2127,2364"
2,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,981"
3,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,979,981"
5,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,967,979,981,993"
7,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"953,967,971,979,981,993,1016"
10,1270,Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,"952,953,967,969,971,975,979,981,993,1016"
2,158,Can beetles be found in polar regions?,"2400,2642"
3,158,Can beetles be found in polar regions?,"2368,2400,2642"
5,158,Can beetles be found in polar regions?,"2368,2378,2400,2628,2642"
7,158,Can beetles be found in polar regions?,"2368,2378,2400,2618,2628,2642,2652"
10,158,Can beetles be found in polar regions?,"2368,2378,2400,2402,2608,2618,2624,2628,2642,2652"
2,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2493,2494"
3,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2493,2494"
5,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2480,2493,2494,2505"
7,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"2455,2474,2480,2482,2493,2494,2505"
10,1045,Were the Leopard men a West African secret society who practised cannibalism ?,"1171,2455,2467,2472,2474,2480,2482,2493,2494,2505"
2,475,Is an Asian elephant smaller than an African elephant?,"1182,1198"
3,475,Is an Asian elephant smaller than an African elephant?,"1182,1189,1198"
5,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1189,1198,1236"
7,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1186,1189,1193,1198,1236"
10,475,Is an Asian elephant smaller than an African elephant?,"1180,1182,1186,1189,1193,1198,1202,1204,1224,1236"
2,1039,What sort of cats are solitary?,"1167,2458"
3,1039,What sort of cats are solitary?,"1167,2458,2596"
5,1039,What sort of cats are solitary?,"1035,1167,2458,2475,2596"
7,1039,What sort of cats are solitary?,"1035,1042,1167,2458,2473,2475,2596"
10,1039,What sort of cats are solitary?,"1035,1042,1167,1171,2455,2458,2466,2473,2475,2596"
